"0"	"Officials: At least 13 dead in Slovakia bus crash"	"A bus collided with a truck in Slovakia on Wednesday, killing at least 13 people and injuring at least 20 more. Online news site tvnoviny.sk reported that the bus was carrying high school students."
"1"	"Aubrey O'Day Responded to Critics Who Say Plastic Surgery Has Dramatically Changed Her Appearance"	""I look in the mirror. I know what I look like," the 35-year-old singer says. "I love me! I'm the happiest I've ever been.""
"1"	"Jess Lost 75 Pounds Without Counting Calories and Did This 1 Inspiring Thing Before Every Meal"	"Jess Dukes makes a list of her "whys" and reads them before every meal and every workout."
"1"	"21 Trader Joe's Products That Make Dinner Especially Easy"	"Adaptable is the name of the game with these multiuse, sent-from-the-heavens foods, all available year-round at your nearest Trader Joe's."
"1"	"Jenelle Evans Obtains Temporary Restraining Order Against David Eason"	"Former Teen Mom star Jenelle Evans accuses David Eason of abuse in court documents obtained exclusively by E! News"
"0"	"Instructions Came From Trump, Schiff Says: Impeachment Update"	"The first public hearing in the formal impeachment inquiry into President Donald Trump was held Wednesday, as the House Intelligence Committee heard testimony from two State Department officials."
"0"	"Who will be best team in the NFL after Week 11?"	"The "Good Morning Football" crew discusses which team will be the best team in the NFL in Week 11."
"0"	"We Had a Babysitter Come to Our Hotel Room at Disney World, and It Was SO Worth It"	"I love my children dearly, but having three small kids really limits what we can do on our annual Disney World vacations."
"0"	"9 Incredible Places You'd Never Even Think To Spend Thanksgiving"	"And I do mean incredible."
"1"	"Kristen Stewart is planning to propose to her girlfriend, plus more celeb love life news for early November 2019"	"Keanu Reeves and girlfriend go public, Kylie Jenner's relationship with Drake turns romantic, Reba McEntire, Nina Dobrev and Ian Ziering end relationships."
"0"	"John Legend Leads a Pack of Gorgeous Men in the Sexiest Man Alive Issue: From Sterling to Jason, Peek at 10 More Hot Guys"	"Get to know some of our picks for Men of the Year"
"0"	"55 Restaurants That Serve an Amazing Thanksgiving Dinner"	"If you love Thanksgiving and the food but don't love the cooking or cleanup, get an easy gourmet celebration at one of these restaurants nationwide. Many feasts feature local twists on old favorites, such as Turducken gumbo and Cajun fried turkey in New Orleans and even vegan-friendly offerings in Seattle."
"0"	"Harry and Meghan Revive Feud Rumors By Staying Away From the Royal Family's Christmas"	"So, what are you doing for Christmas?"
"1"	"My Third Husband Is 102 Years Old. Here's What Our Marriage Is Like."	"When I was 65 years old, I married a man 25 years my senior. This was thethird marriage for both of us, and he was almost 90. Mutual friends introducedus ― his best friend was married to my best friend ― because we were bothwidows, and apparently I needed more of a social life.It started out innocently as two friends hanging out. He liked to take me outto fancy Los Angeles restaurants. He had his handyman fix everything for me,and he brought his..."
"0"	"10 Gazans dead as Israel hit on militant chief sparks rocket barrage"	"Israel's military killed a commander from Palestinian militant group Islamic Jihad in a strike on his home in the Gaza Strip on Tuesday, triggering exchanges of fire in a violent escalation that left another nine Gazans dead. Islamic Jihad is the second most-powerful militant group in the Gaza Strip after Hamas."
"0"	"Most Americans say they are struggling financially"	""Income is not keeping pace with expenses," expert says in noting the prevalence of financial hardships"
"0"	"Selena Gomez Opens Up About Being Body Shamed for Gaining Weight Amidst Lupus Battle"	"The singer and actress is opening up feeling "attacked" while battling life-threatening health issues."
"0"	"Wynonna Judd's Daughter, 23, Released from Prison 6 Years Early After Being Granted Parole"	"Wynonna Judd's Daughter Released from Prison 6 Years Early"
"0"	"School shootings were reported at 15 California schools since Sandy Hook"	"Since the horror unleashed by a gunman at Sandy Hook Elementary in Connecticut in 2012, some 16,000 students have experienced some sort of shooting in California."
"0"	"Here's Exactly What Kristen Bell Eats in a Day to Make 39 Look Like 29"	"Find out how the actress, entrepreneur, activist and mom of two ages with grace."
"0"	"Oreo just released a creme-filled egg and it looks incredible"	"Oreo has taken a nod from Cadbury with its latest treat."
"1"	"Alaska university accepting PB&J in lieu of cash for unpaid parking fines"	"The University of Alaska in Anchorage is helping students address unpaid parking fines and combat hunger at the same time."
"0"	"Le'Veon Bell's advice to Antonio Brown: Try not to do too much over social media"	"Former Steelers teammates Antonio Brown and Le'Veon Bell have seen their careers unfold in very different ways. Bell, who now plays for the Jets, told #PFTPM on Tuesday that he has not kept in touch with Brown, who has played for and been released by both the Raiders and Patriots in 2019. Still, Bell offered [more]"
"1"	"Justin Bieber uses Instagram to sell his house, plus more proof stars are nothing like us"	"Justin Bieber used Instagram to sell his house and even more reasons stars aren't like the rest of us in October 2019."
"0"	"Google Maps Says This Is the Worst Time to Leave for Thanksgiving Travel"	"The tech giant recently unveiled its new time and stress-saving holiday travel tips, and we have to say, they really can help bring down your blood pressure in a holiday pinch."
"1"	"The Search for a Gender Neutral Drive Thru Toy"	"When families are asked whether a kid's meal is for a boy or girl, it means kids get toys based on stereotypes not their actual interests. Is it time to rethink drive-thru toys?"
"1"	"Oreo just released a creme-filled egg and it looks incredible"	"Oreo has taken a nod from Cadbury with its latest treat."
"1"	"Andy Cohen lost 12 pounds by making this one change..."	"Andy Cohen has made one change and started eating better, and the weight has dropped."
"0"	"They bought a 1 euro house in Italy -- here's what happened next"	"CNN Travel caught up with some of the pioneering buyers -- or "€1 citizens," as the locals in Italy call them -- to discover whether it's been worth it to buy a house for a little more than $1."
"0"	"Rally Planned After Second Woman Cited For Selling Churros In Subway"	"Today's rally is planned for 11 a.m. at the Myrtle-Wyckoff station in Brooklyn, where the latest incident happened on Monday morning."
"1"	"The 25 most influential comedians to come out of 'Saturday Night Live'"	"The following is an extensive   but by no means exhaustive   look at the 25 most influential comedians to come out of "SNL," be they performers, writers, directors or guys who make songs about putting their genitals in boxes."
